Institution,course_number,Launch Date,Course Title,Instructors,Course Subject,Topics,Description,TopicsLearned,Year,Honor Code Certificates,Participants (Course Content Accessed),Audited (> 50% Course Content Accessed),Certified,% Audited,% Certified,% Certified of > 50% Course Content Accessed,% Played Video,% Posted in Forum,% Grade Higher Than Zero,Total Course Hours (Thousands),Median Hours for Certification,Median Age,% Male,% Female,% Bachelor's Degree or Higher
MITx,0.111x,06/15/2015,Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,Felice Frankel,"Science, Technology, Engineering, and Mathematics",Communication,"In this course you will learn the basics of photography and gain an intriguing new perspective into the visual world. We will begin with a gentle introduction to the tools, and after that, we start in earnest., , Although we will emphasize photographing science and engineering, most of the material will easily apply to other kinds of macro photography. The course's video tutorials will be accompanied by assignments using a camera, a flatbed scanner, and mobile devices. You will discover how subtle changes in lighting, composition, and background contribute to creating more effective images. You will also learn to think graphically and present your photographs for journal figures, covers, and grant submissions. We will also host interviews with notable image makers and art directors. ","How to see your images from new and varied perspectives, Methods and techniques that improve the quality of your images, Visual critical thinking skills, How to use a range of image making devices (scanners, cameras, smart phones, video), How to enhance grant and journal submissions with powerful images, How to evaluate what makes an effective image",3,1,6934,1456,126,21,1.82,8.65,69.44,9.97,3.95,15.61,24.54,29,68.95,31.05,76.69
MITx,10.03x,07/14/2015,Making Biologic Medicines for Patients: The Principles of Biopharmaceutical Manufacturing,"J. Christopher Love, Anthony J. Sinskey, Stacy Springs","Government, Health, and Social Science","Biology, Life Sciences","Learn how protein therapeutics are manufactured and explore the fundamental principles of biopharmaceutical manufacturing. In this course, you will learn how these life saving medicines are made.","How to engineer and cultivate cells to produce a target biologic, How to purify the product, Some of the history underlying these technological developments",3,1,4404,2012,638,45.69,14.49,31.71,68.51,17.73,40.8,41.5,29.18,28,59.53,40.47,74.49
MITx,11.126x,10/22/2014,Introduction to Game Design,Eric Klopfer,"Humanities, History, Design, Religion, and Education",Education & Teaching,"A practical introduction to game design and game design concepts, emphasizing the basic tools of game design: paper and digital prototyping, design iteration, and user testing.","How to unpack the term ""game,"" incorporating different concepts and multiple perspectives., How to analyze the mechanics of paper and digital games, considering how these mechanics affect gameplay and player experiences., How to design, develop, and test paper and digital prototype games using an iterative design process and incorporating user feedback.",3,1,25569,3210,1480,12.55,5.79,29.88,63.42,0,6.31,50.33,7.51,26,82.01,17.99,57.7
MITx,11.127x,04/01/2015,Design and Development of Games for Learning,Eric Klopfer,"Humanities, History, Design, Religion, and Education",Education & Teaching,"This project-based course explores the process of designing and developing educational games, including issues associated with assessment, implementation and marketing.","Characteristics of a “learning game” and an understanding of ways that games can provide meaningful experiences, How to design, develop, and test a learning game, utilizing educational frameworks and incorporating feedback, Types and kinds of challenges regarding implementation and assessment of learning games, Current state and emerging trends of the educational games market",3,1,15282,3012,513,19.71,3.36,17.03,60.42,0.01,16.08,36.12,16.89,30,72.81,27.19,72.15
MITx,11.132x,10/08/2014,Design and Development of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",Computer Science,This project-based course explores educational technologies and the theories underlying their development through interviews with experts in the field.,"A broad understanding of several prominent educational theories and approaches regarding teaching and learning and examples of how these are manifested in educational technologies, Different ways technology can be leveraged to foster learning, How to recognize different types of assessment and how technology is changing the landscape for assessing learning",3,1,15942,3481,1630,21.84,10.22,35.97,67.16,0.01,10.31,44.73,7.46,33,61.33,38.67,83.01
MITx,11.133x,07/15/2015,Implementation and Evaluation of Educational Technology,Eric Klopfer,"Humanities, History, Design, Religion, and Education",Computer Science,"This course provides a practical overview for selecting, integrating, implementing, and evaluating educational technology initiatives in formal educational settings, primarily in the US. It will include the perspectives of stakeholders that make such initiatives possible, and consider how to evaluate for efficacy.","Describe factors that influence the integration, implementation, and evaluation of educational technology in a learning environment., Set and define criteria, inspired by frameworks, for using educational technologies and match those criteria to potential resources., Recognize and describe major challenges faced by educators when implementing educational technology., Understand different metrics and methods used to evaluate educational technologies and how and why they are applied",3,1,4518,1266,471,28.02,10.42,36.97,58.5,0,22.02,11.99,9.52,34,60.32,39.68,87.64
MITx,11.405x,04/19/2016,Just Money: Banking as if Society Mattered,"J. Phillip Thompson, Katrin Kaeufer, Lily Steponaitis","Government, Health, and Social Science",Economics & Finance,"This course looks into banks that operate differently, namely, “just banks"" that use capital and finance as a tool to address social and ecological challenges.","The core principles of just banking, How finance can be used as a tool for social and environmental change, Ongoing challenges for just banks, The future of just banking and financial technologies, Connect with a global community of learners and change-makers",4,0,4955,1274,254,25.71,5.13,19.94,61.59,0,20.14,24.76,21.67,34,60.61,39.39,81.85
MITx,12.340x,02/19/2014,Global Warming Science,Kerry Emanuel,"Science, Technology, Engineering, and Mathematics",Physics,"Global Warming Science teaches you about the risks and uncertainties of future climate change by examining the science behind the earth’s climate. You will be able to answer such questions as, “What is the Greenhouse Effect?” and “How and why has earth’s climate changed through geologic history?”","Earth’s climate history, The greenhouse effect, Natural and manmade effects on climate, Projected climate change",2,1,7905,1694,452,21.43,5.72,26.68,66.36,9.73,33.57,55.04,42.54,30,70.67,29.33,76.36
HarvardX,1368.1x,09/08/2014,"Saving Schools: History, Politics, and Policy of U.S. Education â€“ History and Politics in U.S. Education",Paul Peterson,"Humanities, History, Design, Religion, and Education","Education & Teaching, Political Science, History","This course seeks to answer the question: how did a school system, once the envy of the world, stumble so that the performance in math, science, and reading of U.S. students at age 15 fell below that of students in a majority of the world’s industrialized nations?","The status of the U.S. Education system compared to countries around the world;, The way in which teachers are currently paid and alternative proposals for paying teachers;, The finances and economics of education;, The theories and implementation of alternative schools of choice (via vouchers or charter schools) in the U.S.;, The development and possible future for digital learning in the U.S.",3,1,3853,969,391,25.16,10.15,40.35,67.67,16.02,31.5,9.36,10.2,32,44.07,55.93,81.88
HarvardX,1368.2x,10/27/2014,"Saving Schools: History, Politics, and Policy in U.S. Education â€“ Teacher Policies",Paul Peterson,"Humanities, History, Design, Religion, and Education","Education & Teaching, Political Science, History","This course seeks to answer the question: how did a school system, once the envy of the world, stumble so that the performance in math, science, and reading of U.S. students at age 15 fell below that of students in a majority of the world’s industrialized nations?","The status of the U.S. Education system compared to countries around the world;, The way in which teachers are currently paid and alternative proposals for paying teachers;, The finances and economics of education;, The theories and implementation of alternative schools of choice (via vouchers or charter schools) in the U.S.;, The development and possible future for digital learning in the U.S.",3,1,1275,516,304,40.5,23.86,58.72,59.65,21.43,42.23,3.28,5.93,35,47.3,52.7,85.23
